date,orders,min,%,minus,day,days,orders/day
11/25/2025,42,0.02,0.97,0.02,3,Tuesday,14.0
2025-11-29 13:13:19.425446,54,0.02,0.97,0.02,Saturday,4,13.5
2025-12-01 12:50:12.433542,37,0.02,0.97,0.02,Monday,1,37.0
2025-12-04 21:41:17.398558,37,0.02,0.97,0.02,Thursday,3,12.33
2025-12-04 21:47:00.269114,46,0.02,0.97,0.02,Thursday,3,15.33
2025-12-08 12:57:48.782769,39,0.02,0.97,0.02,Monday,3,13.0
2025-12-10 12:39:14.846935,23,0.02,0.97,0.02,Wednesday,1,23.0
2025-12-14 21:44:28.370976,48,0.02,0.97,0.02,Sunday,4,12.0
2025-12-16 15:27:05.166395,17,0.02,0.97,0.02,Tuesday,1,17.0
2025-12-19 10:17:15.676650,41,0.02,0.97,0.02,Friday,2,20.5
2025-12-22 11:22:22.506960,64,0.02,0.97,0.02,Monday,3,21.33
2025-12-26 11:17:09.161516,63,0.02,0.97,0.02,Friday,3,21.0
2025-12-28 18:36:04.324234,62,0.02,0.97,0.02,Sunday,2,31.0
2025-12-31 11:52:50.478784,38,0.02,0.97,0.02,Wednesday,2,19.0
2026-01-03 17:58:33.687731,58,0.02,0.97,0.02,Saturday,3,19.33
2026-01-06 09:24:38.209857,44,0.02,0.97,0.02,Tuesday,2,22.0
2026-01-10 20:49:30.963229,53,0.02,0.97,0.02,Saturday,4,13.25
2026-01-12 14:07:46.699662,4,0.02,0.97,0.02,Monday,1,4.0
2026-01-15 15:52:31.309352,18,0.02,0.97,0.02,Thursday,3,6.0
2026-01-20 11:43:06.901228,25,0.02,0.97,0.02,Tuesday,4,6.25
2026-01-24 21:39:42.859364,22,0.02,0.97,0.02,Saturday,4,5.5
2026-01-27 10:39:08.443033,17,0.02,0.97,0.02,Tuesday,2,8.5
2026-02-01 09:29:49.967134,29,0.02,0.97,0.02,Sunday,4,7.25
2026-02-05 18:05:55.945247,17,0.02,0.97,0.02,Thursday,4,4.25
2026-02-09 17:26:48.889316,20,0.02,0.97,0.02,Monday,3,6.67
2026-02-11 11:14:42.479311,7,0.02,0.97,0.02,Wednesday,1,7.0
2026-02-14 10:51:13.770055,12,0.02,0.97,0.02,Saturday,2,6.0
2026-02-17 17:10:41.145411,10,0.02,0.97,0.02,Tuesday,3,3.33
2026-02-20 23:00:53.106568,9,0.02,0.97,0.02,Friday,3,3.0
2026-02-23 22:49:35.056981,16,0.02,0.97,0.02,Monday,2,8.0
2026-02-26 16:33:18.240146,17,0.02,0.97,0.02,Thursday,2,8.5
2026-02-27 19:05:50.696995,6,0.02,0.97,0.02,Friday,1,6.0
2026-03-01 15:11:24.451847,23,0.02,0.97,0.02,Sunday,1,23.0
2026-03-04 19:29:02.795733,26,0.02,0.97,0.02,Wednesday,3,8.67
2026-03-04 19:47:10.221129,0,0.02,0.97,0.02,Wednesday,3,0.0
2026-03-08 14:25:02.548614,28,0.02,0.97,0.02,Sunday,3,9.33
2026-03-14 18:43:36.778831,9,0.02,0.97,0.02,Saturday,6,1.5
2026-03-19 16:53:28.874409,2,0.02,0.97,0.02,Thursday,4,0.5
2026-03-22 17:01:28.011790,3,0.02,0.97,0.02,Sunday,3,1.0
2026-03-22 18:18:07.805064,2,0.02,0.97,0.02,Sunday,3,0.67
2026-03-27 12:45:07.805368,11,0.02,0.97,0.02,Friday,4,2.75
2026-03-27 19:01:13.596897,2,0.02,0.97,0.02,Friday,3,0.67
2026-04-05 21:42:34.972078,14,0.02,0.97,0.02,Sunday,9,1.56
2026-04-06 08:35:31.602241,4,0.02,0.97,0.02,Monday,3,1.33
2026-04-10 16:42:13.784413,9,0.02,0.97,0.02,Friday,4,2.25
2026-04-13 17:25:26.011120,7,0.02,0.97,0.02,Monday,3,2.33
2026-04-17 17:02:56.428849,12,0.02,0.97,0.02,Friday,3,4.0
2026-04-20 21:43:50.052145,11,0.02,0.97,0.02,Monday,3,3.67
